!0
oxygen,124,147,1,5
oxygen,320,152,5,1
oxygen,240,432,5,3
oxygen,83,280,2,3
oxygen,508,404,4,2
oxygen,40,489,2,5
oxygen,217,7,4,1
oxygen,184,68,5,5
oxygen,352,403,3,5
oxygen,27,441,3,3
oxygen,505,521,4,3
oxygen,73,267,1,5
oxygen,75,469,2,2
oxygen,389,350,3,2
oxygen,347,532,1,5
oxygen,254,335,1,3
oxygen,245,368,4,1
oxygen,416,111,3,2
oxygen,478,581,3,3
oxygen,274,59,2,4
oxygen,232,229,5,3
oxygen,339,433,3,5
oxygen,143,551,4,4
oxygen,552,205,2,2
oxygen,345,547,4,3
oxygen,139,228,2,2
oxygen,65,567,5,4
oxygen,560,583,3,3
oxygen,147,276,5,1
oxygen,461,117,4,1
oxygen,349,372,5,3
oxygen,464,303,1,5
oxygen,550,109,2,1
oxygen,189,430,1,4
oxygen,180,235,3,3
oxygen,38,544,4,1
oxygen,236,449,3,2
oxygen,509,49,4,5
oxygen,104,409,4,1
oxygen,551,565,5,3
oxygen,115,527,2,3
oxygen,103,283,3,5
oxygen,309,364,5,1
oxygen,354,468,2,5
oxygen,378,514,1,5
oxygen,591,22,3,1
oxygen,573,589,1,1
oxygen,591,332,1,1
oxygen,10,357,2,4
oxygen,348,265,3,4
oxygen,473,546,5,5
oxygen,473,551,4,5
oxygen,99,508,4,3
oxygen,508,402,2,1
oxygen,475,453,4,3
oxygen,135,378,3,5
oxygen,205,131,5,1
oxygen,447,22,3,4
oxygen,398,196,1,4
oxygen,235,296,3,4
oxygen,103,286,2,3
oxygen,340,9,2,4
oxygen,511,270,2,3
oxygen,334,478,2,5
oxygen,127,145,1,2
oxygen,145,226,4,5
oxygen,105,578,4,3
oxygen,449,227,5,4
oxygen,524,107,3,3
oxygen,46,16,5,5
oxygen,419,16,3,3
oxygen,564,116,2,1
oxygen,33,557,1,1
oxygen,542,573,5,3
oxygen,591,387,2,1
oxygen,564,502,1,4
oxygen,484,482,5,5
oxygen,362,429,1,2
oxygen,499,46,1,2
oxygen,461,94,1,5
oxygen,423,17,4,4
oxygen,21,127,5,5
oxygen,341,135,4,4
oxygen,469,32,3,1
oxygen,130,272,3,5
oxygen,70,335,3,4
oxygen,367,210,1,1
oxygen,513,356,4,5
oxygen,538,187,1,2
oxygen,397,543,4,5
oxygen,59,369,3,2
oxygen,505,14,1,2
oxygen,227,52,3,4
oxygen,300,388,5,3
oxygen,218,168,1,4
oxygen,325,384,2,4
oxygen,526,328,5,1
oxygen,166,247,2,4
oxygen,167,422,5,3
oxygen,539,196,2,5
oxygen,151,245,2,5
oxygen,323,155,4,4
oxygen,505,111,1,2
oxygen,266,140,2,5
oxygen,492,550,4,1
oxygen,175,55,4,1
oxygen,200,287,5,5
oxygen,467,466,2,3
oxygen,365,557,2,4
oxygen,534,161,2,4
oxygen,293,326,2,4
oxygen,364,222,4,3
oxygen,245,247,4,4
oxygen,111,268,1,5
oxygen,507,405,4,1
oxygen,533,569,5,2
oxygen,54,242,4,5
oxygen,197,122,5,4
oxygen,190,167,1,3
oxygen,270,429,1,2
oxygen,539,324,2,2
oxygen,180,364,5,4
oxygen,328,230,1,4
oxygen,168,113,5,1
oxygen,342,129,3,1
oxygen,172,224,4,5
oxygen,257,39,1,1
oxygen,314,359,4,5
oxygen,536,381,3,2
oxygen,344,597,2,5
oxygen,499,127,3,2
oxygen,567,48,3,1
oxygen,295,305,3,3
oxygen,567,513,1,4
oxygen,233,154,3,5
oxygen,323,599,5,4
oxygen,362,62,4,5
oxygen,249,532,5,4
oxygen,557,513,2,3
oxygen,454,123,1,3
oxygen,563,394,2,2
oxygen,514,366,4,5
oxygen,462,84,4,3
oxygen,455,10,5,3
oxygen,529,183,5,4
oxygen,188,450,5,4
oxygen,459,29,5,4
oxygen,353,518,2,3
oxygen,354,305,1,4
oxygen,492,58,1,5
oxygen,142,510,3,2
oxygen,488,240,1,5
oxygen,478,300,4,1
oxygen,12,224,5,5
oxygen,55,521,5,2
oxygen,270,43,1,1
oxygen,24,450,5,5
oxygen,111,555,5,4
oxygen,522,404,3,4
oxygen,19,208,1,5
oxygen,95,220,2,1
oxygen,565,547,1,4
oxygen,189,252,3,4
oxygen,97,173,5,4
oxygen,127,321,2,3
oxygen,248,372,1,2
oxygen,491,328,3,2
oxygen,241,144,1,3
oxygen,399,87,4,3
oxygen,277,30,2,4
oxygen,370,206,3,2
oxygen,165,431,2,5
oxygen,407,241,5,5
oxygen,65,20,4,4
oxygen,57,14,5,3
oxygen,502,265,4,5
oxygen,254,118,3,1
oxygen,82,581,2,4
oxygen,30,533,5,1
oxygen,583,232,2,4
oxygen,560,587,4,5
oxygen,37,374,4,2
oxygen,416,530,1,5
oxygen,575,429,1,5
oxygen,486,8,1,1
oxygen,203,154,5,2
oxygen,478,246,3,4
oxygen,504,570,4,4
oxygen,193,244,5,2
oxygen,421,104,5,4
oxygen,129,564,2,1
oxygen,122,216,3,3
oxygen,321,408,4,3
oxygen,27,258,2,5
oxygen,247,233,1,1
oxygen,149,505,3,1
oxygen,477,459,4,3
oxygen,459,63,5,5
oxygen,114,375,2,3
oxygen,97,189,3,5
fuel,74,157,1,4
fuel,155,71,3,1
fuel,590,590,2,4
fuel,497,55,1,2
fuel,594,242,4,2
fuel,173,459,4,3
fuel,309,209,5,5
fuel,569,466,3,4
fuel,524,594,1,2
fuel,389,332,3,3
fuel,86,452,3,1
fuel,445,109,5,4
fuel,266,370,2,4
fuel,81,583,5,4
fuel,230,417,4,1
fuel,454,276,4,2
fuel,392,527,5,2
fuel,368,279,5,1
fuel,396,530,2,1
fuel,290,543,2,5
fuel,497,77,3,5
fuel,256,461,5,3
fuel,67,119,3,3
fuel,121,590,4,3
fuel,592,337,5,1
fuel,448,405,3,1
fuel,480,455,2,5
fuel,37,228,5,2
fuel,461,528,1,4
fuel,136,119,4,5
fuel,19,9,2,2
fuel,580,414,1,5
fuel,352,284,5,5
fuel,244,597,2,4
fuel,506,352,5,1
fuel,303,268,1,3
fuel,374,225,3,3
fuel,266,108,2,3
fuel,154,176,2,2
fuel,60,248,4,5
fuel,562,123,1,3
fuel,343,169,3,5
